number;name;address;position;banking;bonus;status;Contract Name;Bike Stands;Available Bike Stands;Available Bikes;Last Update
119;119-ZOLA;Place Emile Zola;47.213859, -1.586108;False;False;OPEN;nantes;25;7;18;2025-01-30T10:06:21+00:00
125;125-PLACIS;Avenue de la Martellière - SAINT-SÉBASTIEN-SUR-LOIRE;47.199378, -1.520481;False;False;OPEN;nantes;18;8;9;2025-01-30T10:07:07+00:00
65;065-COURS SULLY;9, cours Sully;47.2225873399067, -1.55166644254598;False;False;OPEN;nantes;15;10;5;2025-01-30T10:06:25+00:00
14;014-SAINT FÉLIX;35, Boulevard Amiral Courbet;47.230334, -1.556133;False;False;OPEN;nantes;14;3;11;2025-01-30T10:06:11+00:00
5;005-BROSSARD;12, Allée Duquesne;47.2188372304694, -1.55674926307655;False;False;OPEN;nantes;18;17;1;2025-01-30T10:07:16+00:00
38;038-RICORDEAU;Place Alexis-Ricordeau - Chaussée de la Madeleine;47.2121084631418, -1.55304912932047;True;False;OPEN;nantes;40;7;33;2025-01-30T10:04:01+00:00
117;117-MAIRIE DE CHANTENAY;Place de la Liberté;47.20656, -1.58785;False;False;OPEN;nantes;15;4;11;2025-01-30T10:04:51+00:00
19;019-SAINT SIMILIEN;1, place Saint Similien;47.21985446733, -1.55892089047478;False;False;OPEN;nantes;15;11;3;2025-01-30T10:04:44+00:00
58;058-PALAIS DES SPORTS;8,rue André Tardieu;47.208465, -1.536657;False;False;OPEN;nantes;15;6;9;2025-01-30T10:05:28+00:00
94;094-PETIT PORT;Boulevard du Petit Port - place du 8 mai 1945;47.2432639149755, -1.55634461016798;False;False;OPEN;nantes;20;10;10;2025-01-30T10:05:37+00:00
72;072-BELLAMY-GUÉ MOREAU;138, rue Paul Bellamy;47.2286256905746, -1.56180639301113;False;False;OPEN;nantes;15;5;9;2025-01-30T10:04:16+00:00
77;077-ÉCOLE D'ARCHITECTURE;6, quai François Mitterrand;47.2076056402121, -1.55753246791432;True;False;OPEN;nantes;32;15;17;2025-01-30T10:03:59+00:00
87;087-ANATOLE FRANCE;41, rue Alexandre Dumas - Place Anatole France;47.2236048153991, -1.57137357811241;False;False;OPEN;nantes;15;9;6;2025-01-30T10:04:57+00:00
109;109-CLOS TOREAU;Face 31, boulevard Emile Gabory;47.19426, -1.529313;False;False;OPEN;nantes;21;9;12;2025-01-30T10:05:17+00:00
55;055-MAGELLAN;11, rue de Belfort;47.2107814065594, -1.54429847094521;False;False;OPEN;nantes;17;13;4;2025-01-30T10:05:38+00:00
47;047-MARTYRS NANTAIS;1, boulevard des Martyrs Nantais de la Résistance;47.206933, -1.548169;True;False;OPEN;nantes;27;10;16;2025-01-30T10:03:51+00:00
83;083-MILLERAND;9, boulevard Alexandre Millerand - 28, boulevard Georges Pompidou;47.2081996450388, -1.53018043595997;False;False;OPEN;nantes;14;3;11;2025-01-30T10:04:04+00:00
102;102-GARE DE PONT ROUSSEAU;Rue de la Gare - REZÉ;47.19316, -1.549212;True;False;OPEN;nantes;24;15;9;2025-01-30T10:03:50+00:00
53;053-OLIVETTES;10, rue des Olivettes;47.2117363932221, -1.54988602493776;False;False;OPEN;nantes;15;1;14;2025-01-30T10:05:01+00:00
79;079-MALAKOFF;15, quai de Malakoff;47.213395, -1.536954;False;False;OPEN;nantes;15;7;8;2025-01-30T10:05:38+00:00
115;115-TRENTEMOULT;Face 11, quai Marcel Boissard - Trentemoult - REZÉ;47.195308, -1.581806;False;False;OPEN;nantes;26;13;13;2025-01-30T10:05:28+00:00
18;018-VIARME;23, place Viarme;47.2214293389855, -1.56330836686976;False;False;OPEN;nantes;14;5;8;2025-01-30T10:03:58+00:00
78;078-DE GAULLE;7, rue Françoise Giroud - Boulevard Général de Gaulle;47.2084436771829, -1.54051448829019;False;False;OPEN;nantes;21;7;14;2025-01-30T10:03:53+00:00
48;048-VERDUN;15, rue de Verdun;47.2175053746786, -1.55184978437031;True;False;OPEN;nantes;14;8;6;2025-01-30T10:03:54+00:00
59;059-STADE SAUPIN;35, quai de Malakoff;47.213682, -1.540181;False;False;OPEN;nantes;24;17;7;2025-01-30T10:04:33+00:00
57;057-GAËTAN RONDEAU;20, rue Gaëtan Rondeau;47.2053961321791, -1.53758186300399;False;False;OPEN;nantes;20;9;11;2025-01-30T10:03:45+00:00
8;008-BOUCHERIE;4, rue de la Boucherie;47.2162008925882, -1.55711168019757;True;False;OPEN;nantes;24;5;19;2025-01-30T10:05:06+00:00
32;032-FOCH;Place Foch;47.2192484, -1.550185;True;False;OPEN;nantes;14;4;10;2025-01-30T10:04:31+00:00
17;017-SAINTE ÉLISABETH;4, place Sainte Elisabeth;47.2192139526135, -1.56157014764171;False;False;OPEN;nantes;14;3;11;2025-01-30T10:04:18+00:00
49;049-DUCHESSE ANNE;2, place de la Duchesse Anne;47.2167, -1.547253;False;False;OPEN;nantes;15;12;3;2025-01-30T10:05:36+00:00
108;108-BONNE GARDE;Face 97, rue Bonne Garde;47.197217, -1.532105;False;False;OPEN;nantes;24;6;18;2025-01-30T10:04:05+00:00
73;073-SARRADIN;4, place Emile Sarradin;47.2208824330189, -1.57043859807393;False;False;OPEN;nantes;13;3;10;2025-01-30T10:05:21+00:00
71;071-TALENSAC NORD;18, rue Talensac - 26, rue de Bel Air;47.2218536381884, -1.55894074669074;False;False;OPEN;nantes;14;13;1;2025-01-30T10:03:57+00:00
23;023-BUAT;118, rue de Coulmiers;47.2271454682246, -1.5424047412504;False;False;OPEN;nantes;11;9;2;2025-01-30T10:04:50+00:00
29;029-DUGUAY TROUIN;18, allée Duguay Trouin;47.2126959612969, -1.55730644460216;True;False;OPEN;nantes;26;19;7;2025-01-30T10:04:30+00:00
44;044-PALAIS DE JUSTICE;19, quai François Mitterand - 1, rue Olympe de Gouges;47.2083172884415, -1.5611730779894;True;False;OPEN;nantes;31;13;18;2025-01-30T10:05:38+00:00
12;012-DELORME;1, boulevard Gabriel Guist'Hau - Place Delorme;47.2151581886857, -1.56390067346586;True;False;OPEN;nantes;20;10;10;2025-01-30T10:04:02+00:00
98;098-HUIT MAI;Avenue de la Libération - rue Eugène Pottier - REZÉ;47.189212047513, -1.55082803645635;False;False;OPEN;nantes;15;13;1;2025-01-30T10:04:02+00:00
99;099-ST JACQUES;Rue Saint Jacques;47.1958989090141, -1.5365406634647;False;False;OPEN;nantes;15;10;5;2025-01-30T10:04:37+00:00
4;004-MOULIN;18, rue du Moulin;47.2166675820152, -1.5543847138777;False;False;OPEN;nantes;12;6;6;2025-01-30T10:04:32+00:00
